customer_id,product_id,rating,comment,feedback_date
1040,2,1,Not great. Texture was off and the smell was a bit unpleasant.,2025-12-04
1043,12,5,Absolutely loved it. Quality is top-notch and the price is fair.,2025-01-03
1013,4,4,Absolutely loved it. Quality is top-notch and the price is fair.,2026-04-15
1037,5,5,Absolutely loved it. Quality is top-notch and the price is fair.,2025-12-14
1021,5,2,Not great. Texture was off and the smell was a bit unpleasant. My phone is 0412-987-654 if you need to reach me.,2025-06-28
1022,10,3,Decent product. Nothing remarkable but does the job.,2025-07-03
1035,5,5,Really impressed. The flavour is amazing and it stays fresh longer.,2026-10-07
1045,2,1,"Poor quality, won't buy again. Felt overpriced for what it is.",2025-04-28
1006,7,3,"Tastes fine, packaging is standard. No complaints. My phone is 0412-987-654 if you need to reach me.",2025-11-09
1044,11,4,Really impressed. The flavour is amazing and it stays fresh longer.,2025-03-15
1024,5,5,Really impressed. The flavour is amazing and it stays fresh longer.,2026-01-08
1002,6,4,Absolutely loved it. Quality is top-notch and the price is fair.,2026-04-21
1031,7,5,Excellent. Tastes like it should and the packaging was perfect. Please contact me at jane.doe@example.com for follow-up.,2025-12-18
1034,5,5,Excellent. Tastes like it should and the packaging was perfect.,2026-06-08
1008,9,4,Absolutely loved it. Quality is top-notch and the price is fair.,2025-11-06
1043,7,4,Excellent. Tastes like it should and the packaging was perfect.,2026-09-09
1035,1,4,Absolutely loved it. Quality is top-notch and the price is fair.,2026-11-11
1007,5,4,Excellent. Tastes like it should and the packaging was perfect. Refund requested by John Smith — reachable at 0498-111-222.,2026-09-25
1011,9,5,"Fantastic product, fresh and delicious. Highly recommend.",2025-03-12
1048,3,4,Really impressed. The flavour is amazing and it stays fresh longer.,2026-08-01
1007,6,5,"Fantastic product, fresh and delicious. Highly recommend.",2025-10-03
1005,12,4,Absolutely loved it. Quality is top-notch and the price is fair.,2025-03-22
1030,9,2,Terrible. Phone customer support on 0412-345-678 — they hung up.,2026-04-18
1048,12,4,"Fantastic product, fresh and delicious. Highly recommend.",2026-08-17
1028,2,3,Decent product. Nothing remarkable but does the job.,2025-10-08
1000,2,5,Absolutely loved it. Quality is top-notch and the price is fair.,2025-06-03
1032,4,3,Met expectations. Would consider buying again on sale.,2025-12-19
1036,8,3,Met expectations. Would consider buying again on sale.,2025-02-04
1042,7,3,Met expectations. Would consider buying again on sale.,2025-11-21
1041,2,1,Not great. Texture was off and the smell was a bit unpleasant.,2025-04-07
1012,9,4,Excellent. Tastes like it should and the packaging was perfect. My phone is 0412-987-654 if you need to reach me.,2025-02-15
1035,2,1,Terrible. Phone customer support on 0412-345-678 — they hung up.,2025-04-06
1026,8,4,Excellent. Tastes like it should and the packaging was perfect.,2025-07-01
1024,5,5,Excellent. Tastes like it should and the packaging was perfect.,2026-03-07
1018,4,5,Really impressed. The flavour is amazing and it stays fresh longer.,2025-12-11
1003,1,4,Really impressed. The flavour is amazing and it stays fresh longer.,2025-01-17
1005,3,1,Disappointed. The item arrived damaged and tasted stale.,2025-07-04
1036,4,4,Absolutely loved it. Quality is top-notch and the price is fair.,2026-11-19
1036,9,3,"Tastes fine, packaging is standard. No complaints.",2026-04-09
1025,3,4,"Fantastic product, fresh and delicious. Highly recommend.",2025-01-15
1039,10,5,Absolutely loved it. Quality is top-notch and the price is fair.,2026-03-12
1004,4,3,It's okay. Average quality at an average price.,2026-10-26
1041,9,1,Terrible. Phone customer support on 0412-345-678 — they hung up.,2025-03-09
1007,2,5,"Great value for money, will buy again. My family enjoyed it.",2025-12-11
1013,11,4,"Fantastic product, fresh and delicious. Highly recommend.",2026-01-03
1040,7,5,Absolutely loved it. Quality is top-notch and the price is fair. Please contact me at jane.doe@example.com for follow-up.,2026-03-24
1028,9,5,Really impressed. The flavour is amazing and it stays fresh longer. Please contact me at jane.doe@example.com for follow-up.,2025-09-02
1023,10,4,Excellent. Tastes like it should and the packaging was perfect. My phone is 0412-987-654 if you need to reach me.,2026-01-12
1013,11,3,Decent product. Nothing remarkable but does the job.,2026-10-24
1009,4,5,"Great value for money, will buy again. My family enjoyed it.",2025-03-24
1021,7,5,"Great value for money, will buy again. My family enjoyed it.",2025-07-28
1002,8,3,Met expectations. Would consider buying again on sale.,2025-04-01
1042,4,3,"Tastes fine, packaging is standard. No complaints.",2026-06-21
1032,7,4,Really impressed. The flavour is amazing and it stays fresh longer.,2025-02-09
1011,10,5,"Fantastic product, fresh and delicious. Highly recommend. Refund requested by John Smith — reachable at 0498-111-222.",2026-06-24
1020,7,4,Really impressed. The flavour is amazing and it stays fresh longer. Refund requested by John Smith — reachable at 0498-111-222.,2025-05-02
1045,7,1,Terrible. Phone customer support on 0412-345-678 — they hung up.,2025-06-14
1004,11,5,Really impressed. The flavour is amazing and it stays fresh longer.,2025-12-10
1032,5,4,"Fantastic product, fresh and delicious. Highly recommend.",2026-09-05
1012,7,4,Excellent. Tastes like it should and the packaging was perfect.,2025-10-19
1040,2,1,Not great. Texture was off and the smell was a bit unpleasant.,2025-12-04
1022,10,3,Decent product. Nothing remarkable but does the job.,2025-07-03
