customer_id,product_id,rating,comment,feedback_date
1019,7,4,Absolutely loved it. Quality is top-notch and the price is fair.,2023-07-26
1037,10,4,Excellent. Tastes like it should and the packaging was perfect.,2023-09-16
1047,3,4,"Fantastic product, fresh and delicious. Highly recommend.",2024-02-27
1048,4,4,"Great value for money, will buy again. My family enjoyed it.",2023-01-02
1015,8,4,Absolutely loved it. Quality is top-notch and the price is fair.,2023-12-23
1024,8,3,It's okay. Average quality at an average price.,2023-02-25
1027,4,2,Terrible. Phone customer support on 0412-345-678 — they hung up.,2023-02-15
1008,8,4,Really impressed. The flavour is amazing and it stays fresh longer.,2024-10-27
1046,9,4,Really impressed. The flavour is amazing and it stays fresh longer.,2023-12-28
1030,8,3,It's okay. Average quality at an average price.,2024-09-16
1040,4,3,Decent product. Nothing remarkable but does the job.,2023-05-11
1020,9,1,"Poor quality, won't buy again. Felt overpriced for what it is.",2023-12-07
1004,7,4,Really impressed. The flavour is amazing and it stays fresh longer.,2023-04-27
1026,7,5,Really impressed. The flavour is amazing and it stays fresh longer.,2023-10-13
1030,1,5,"Fantastic product, fresh and delicious. Highly recommend.",2024-09-24
1047,9,5,"Great value for money, will buy again. My family enjoyed it.",2024-07-16
1001,7,3,Met expectations. Would consider buying again on sale.,2024-03-20
1034,1,5,Really impressed. The flavour is amazing and it stays fresh longer.,2023-02-21
1027,3,5,"Great value for money, will buy again. My family enjoyed it. My phone is 0412-987-654 if you need to reach me.",2024-04-15
1020,6,5,Excellent. Tastes like it should and the packaging was perfect.,2024-05-27
1005,8,1,Terrible. Phone customer support on 0412-345-678 — they hung up. My phone is 0412-987-654 if you need to reach me.,2023-11-03
1049,11,1,Disappointed. The item arrived damaged and tasted stale.,2023-01-20
1009,4,2,Disappointed. The item arrived damaged and tasted stale.,2023-08-23
1016,6,2,Terrible. Phone customer support on 0412-345-678 — they hung up.,2023-03-10
1006,10,1,Not great. Texture was off and the smell was a bit unpleasant.,2024-07-23
1012,2,4,"Great value for money, will buy again. My family enjoyed it. My phone is 0412-987-654 if you need to reach me.",2023-10-26
1002,6,4,"Fantastic product, fresh and delicious. Highly recommend. Refund requested by John Smith — reachable at 0498-111-222.",2024-01-28
1026,8,2,Not great. Texture was off and the smell was a bit unpleasant.,2024-12-05
1027,3,5,"Fantastic product, fresh and delicious. Highly recommend.",2024-08-14
1046,10,3,It's okay. Average quality at an average price.,2023-05-15
1015,8,4,Excellent. Tastes like it should and the packaging was perfect.,2024-06-06
1031,4,3,"Tastes fine, packaging is standard. No complaints.",2024-09-01
1033,4,1,Bad experience. Email me at angry.shopper@example.com to discuss.,2023-12-16
1041,12,4,Absolutely loved it. Quality is top-notch and the price is fair. Please contact me at jane.doe@example.com for follow-up.,2024-12-08
1019,11,4,Excellent. Tastes like it should and the packaging was perfect.,2024-07-24
1035,6,3,Met expectations. Would consider buying again on sale.,2024-04-04
1046,4,3,"Average. Not the best I've had, not the worst either.",2023-04-07
1047,8,3,"Average. Not the best I've had, not the worst either.",2024-02-27
1012,5,3,It's okay. Average quality at an average price.,2023-05-02
1003,9,3,It's okay. Average quality at an average price.,2024-02-28
